"","id","v3_1","v3_2","v3_3","a1b1","a1c1","a1d1","a1e1","a2","a3","a4a","b3","b5a","b11a2","c5a1","d4a","d4b","d4c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","socialLevel","incomePer","incomeFam","occ","occR","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"82",93,22,17,100,2,1965,2,2,1,4,1,4,NA,-8,42000,5,5,5,3,2,2,2021,4,1,1,56,3,1,1,1,1,0,5,NA,42000,NA,NA,3,2,2,1,0,0
"83",94,22,17,100,2,1962,2,2,1,4,1,3,7,-8,5000,3,3,3,4,4,4,2021,4,1,1,59,3,1,1,1,1,0,3,NA,5000,7,0,4,4,4,1,1,1
"84",95,22,17,100,2,1970,2,2,1,4,1,4,NA,-8,15000,5,5,5,4,2,1,2021,4,1,1,51,3,1,1,1,1,0,5,NA,15000,NA,NA,4,2,1,1,0,0
"85",96,22,17,100,1,1978,3,2,1,4,2,4,NA,-8,20000,5,5,5,3,3,3,2021,4,1,0,43,2,1,0,2,1,0,5,NA,20000,NA,NA,3,3,3,1,1,1
"86",97,22,28,104,2,1963,3,3,1,4,1,NA,NA,-8,70000,2,2,1,3,3,3,2021,4,1,1,58,3,1,1,2,1,0,2,NA,70000,NA,NA,3,3,3,1,1,1
"87",98,22,28,104,2,1999,7,1,1,2,1,1,5,10000,28000,4,5,2,3,4,4,2021,4,1,1,22,1,0,1,4,1,0,4,10000,28000,5,0,3,4,4,1,1,1
"88",99,22,28,101,2,1956,5,2,1,4,3,1,5,33400,149000,4,3,4,4,-1,-1,2021,4,1,1,65,3,1,0,3,1,0,4,33400,149000,5,0,4,-1,-1,1,0,0
"89",100,22,7,107,2,1962,2,2,1,4,1,4,NA,-8,35000,5,4,4,4,4,4,2021,4,1,1,59,3,1,1,1,1,0,5,NA,35000,NA,NA,4,4,4,1,1,1
"90",101,22,7,107,1,1975,2,2,1,4,1,4,NA,-8,10000,5,3,-1,1,1,1,2021,4,1,0,46,2,1,1,1,1,0,5,NA,10000,NA,NA,1,1,1,0,0,0
"91",105,22,7,107,1,1972,3,2,1,4,1,3,7,-8,70000,4,4,3,4,4,3,2021,4,1,0,49,2,1,1,2,1,0,4,NA,70000,7,0,4,4,3,1,1,1
