"","id","a1_1_a","a1b1_a","a1d1","a1e1","a2","a3","a4a","a5a","b3a","b4a","fam_inc","c51a2","c51a3","c51b2","c51b3","c51c2","c51c3","d3a","d3b","d3c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","party","incomFam","socialLevel","occ","occR","occP","occPr","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"148",1102054,1979,1,9,2,10,1,2,NA,1,2,241000,1,3,2,13,1,7,5,5,5,4,4,4,2019,4,1,0,40,2,1,0,4,1,241000,5,2,1,7,0,4,4,4,1,1,1
"149",1102021,1953,2,5,2,10,1,2,NA,NA,NA,240000,NA,NA,NA,NA,NA,NA,4,3,5,3,2,2,2019,4,1,1,66,3,1,0,3,1,240000,4,NA,NA,NA,NA,3,2,2,1,0,0
"150",1102078,1982,1,7,2,10,4,2,NA,1,3,123000,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,2019,4,1,0,37,2,1,0,4,0,123000,3,3,1,NA,NA,4,1,1,1,0,0
"151",1104084,1957,1,7,2,10,1,2,NA,1,9,129000,1,3,1,3,1,3,2,2,2,4,3,3,2019,4,1,0,62,3,1,0,4,1,129000,2,9,0,3,1,4,3,3,1,1,1
"152",1102010,1980,1,4,2,10,4,1,NA,1,5,217500,2,1,2,1,1,6,4,4,4,4,3,2,2019,4,1,0,39,2,1,1,3,0,217500,4,5,0,6,0,4,3,2,1,1,0
"153",1104017,1975,1,8,2,13,4,2,NA,1,9,374000,1,2,1,4,1,4,4,4,4,4,3,3,2019,4,1,0,44,2,1,0,4,0,374000,4,9,0,4,1,4,3,3,1,1,1
"154",1102065,1976,2,7,2,10,4,2,NA,1,9,255000,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,1,43,2,1,0,4,0,255000,3,9,0,NA,NA,4,4,4,1,1,1
"155",1102077,1952,1,3,2,10,1,2,NA,NA,NA,948000,1,4,1,3,1,3,4,4,4,4,4,3,2019,4,1,0,67,3,1,0,2,1,948000,4,NA,NA,3,1,4,4,3,1,1,1
"156",1102026,1959,2,4,2,10,4,2,NA,NA,NA,117800,NA,NA,NA,NA,NA,NA,4,4,4,4,3,3,2019,4,1,1,60,3,1,0,3,0,117800,4,NA,NA,NA,NA,4,3,3,1,1,1
"157",1104077,1950,2,4,2,10,4,2,NA,NA,NA,110000,1,4,5,13,1,4,3,5,3,4,4,4,2019,4,1,1,69,3,1,0,3,0,110000,3,NA,NA,4,1,4,4,4,1,1,1
"158",1104040,1950,2,3,3,10,4,2,NA,NA,NA,116400,NA,NA,NA,NA,NA,NA,4,4,2,4,1,2,2019,4,1,1,69,3,1,0,2,0,116400,4,NA,NA,NA,NA,4,1,2,1,0,0
"159",1102050,1956,2,3,2,10,4,2,NA,NA,NA,107400,1,3,1,3,1,5,4,4,3,4,4,3,2019,4,1,1,63,3,1,0,2,0,107400,4,NA,NA,5,0,4,4,3,1,1,1
"160",1104085,1973,2,8,2,10,1,2,NA,NA,NA,1e+05,1,4,1,4,1,4,4,4,5,3,3,3,2019,4,1,1,46,2,1,0,4,1,1e+05,4,NA,NA,4,1,3,3,3,1,1,1
"161",1102053,1975,2,5,2,10,4,2,NA,NA,NA,132000,1,3,1,6,1,6,3,3,3,4,4,4,2019,4,1,1,44,2,1,0,3,0,132000,3,NA,NA,6,0,4,4,4,1,1,1
"162",1104072,1951,2,3,5,10,4,2,NA,NA,NA,100800,NA,NA,NA,NA,NA,NA,4,4,3,3,3,2,2019,4,1,1,68,3,0,0,2,0,100800,4,NA,NA,NA,NA,3,3,2,1,1,0
"163",1104063,1964,2,7,4,10,4,2,NA,NA,NA,84000,1,3,1,3,NA,NA,2,2,3,3,3,3,2019,4,1,1,55,3,0,0,4,0,84000,2,NA,NA,NA,NA,3,3,3,1,1,1
"164",1104012,1950,2,3,2,10,4,2,NA,NA,NA,140000,NA,NA,NA,NA,NA,NA,4,2,5,4,4,4,2019,4,1,1,69,3,1,0,2,0,140000,4,NA,NA,NA,NA,4,4,4,1,1,1
"165",1102045,1958,1,3,2,10,4,2,NA,NA,NA,56000,1,5,4,12,1,3,4,5,4,3,3,3,2019,4,1,0,61,3,1,0,2,0,56000,4,NA,NA,3,1,3,3,3,1,1,1
"166",1102036,1958,1,4,2,10,1,2,NA,NA,NA,109000,1,3,1,3,1,3,4,4,3,4,3,3,2019,4,1,0,61,3,1,0,3,1,109000,4,NA,NA,3,1,4,3,3,1,1,1
"167",1102058,1969,2,3,4,10,4,3,NA,1,11,106000,1,5,2,1,NA,NA,4,4,4,3,3,3,2019,4,1,1,50,3,0,0,2,0,106000,4,11,0,NA,NA,3,3,3,1,1,1
"168",1104037,1962,2,4,2,10,4,2,NA,NA,NA,135000,NA,NA,NA,NA,NA,NA,4,3,4,3,2,2,2019,4,1,1,57,3,1,0,3,0,135000,4,NA,NA,NA,NA,3,2,2,1,0,0
"169",1104083,1960,2,4,2,10,1,2,NA,1,9,528200,NA,NA,NA,NA,NA,NA,2,3,2,4,4,4,2019,4,1,1,59,3,1,0,3,1,528200,2,9,0,NA,NA,4,4,4,1,1,1
"170",1104078,1952,2,7,2,10,4,2,NA,NA,NA,2e+05,1,3,1,3,1,6,4,4,4,3,3,3,2019,4,1,1,67,3,1,0,4,0,2e+05,4,NA,NA,6,0,3,3,3,1,1,1
"171",540306231,1981,2,1,2,14,4,1,"藏传佛教",NA,NA,35000,2,1,2,1,2,1,4,4,4,3,3,3,2019,4,1,1,38,2,1,1,0,0,35000,4,NA,NA,1,1,3,3,3,1,1,1
"172",5403038,1975,1,1,2,14,4,1,NA,4,NA,20000,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,2019,4,1,0,44,2,1,1,0,0,20000,4,NA,0,NA,NA,4,4,4,1,1,1
"173",5403012,1967,1,1,2,14,4,1,NA,4,NA,3e+05,2,1,2,1,2,1,2,2,2,4,4,4,2019,4,1,0,52,3,1,1,0,0,3e+05,2,NA,0,1,1,4,4,4,1,1,1
"174",5403061116,1980,2,1,2,14,4,1,"藏传佛教",NA,NA,40000,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,2019,4,1,1,39,2,1,1,0,0,40000,4,NA,NA,NA,NA,3,3,3,1,1,1
"175",5403022,1979,1,2,2,14,4,1,NA,4,NA,14000,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,2019,4,1,0,40,2,1,1,1,0,14000,3,NA,0,NA,NA,4,4,4,1,1,1
"176",5403026,1969,1,2,2,14,4,1,NA,4,NA,130000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,0,50,3,1,1,1,0,130000,3,NA,0,1,1,4,4,4,1,1,1
"177",5403011,1977,2,1,2,14,4,1,NA,4,NA,17500,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,2019,4,1,1,42,2,1,1,0,0,17500,5,NA,0,NA,NA,4,4,4,1,1,1
"178",5403019,1971,2,10,2,14,4,1,NA,4,NA,22000,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,1,48,2,1,1,NA,0,22000,3,NA,0,NA,NA,4,4,4,1,1,1
"179",5403001,1973,1,1,2,14,4,1,"藏传佛教",NA,NA,25000,2,1,2,1,2,1,4,4,4,3,3,3,2019,4,1,0,46,2,1,1,0,0,25000,4,NA,NA,1,1,3,3,3,1,1,1
"180",5403024,1979,1,2,2,14,4,1,NA,4,NA,30000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,0,40,2,1,1,1,0,30000,3,NA,0,1,1,4,4,4,1,1,1
"181",5403004,1952,1,10,5,14,4,1,NA,4,NA,12000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,0,67,3,0,1,NA,0,12000,3,NA,0,1,1,4,4,4,1,1,1
"182",5403005,1968,1,1,1,14,4,1,NA,4,NA,3e+05,2,1,2,1,NA,NA,2,1,1,4,4,4,2019,4,1,0,51,3,0,1,0,0,3e+05,2,NA,0,NA,NA,4,4,4,1,1,1
"183",5403008,1996,1,1,2,14,4,1,"藏传佛教",NA,NA,33000,2,1,2,1,2,1,3,3,3,3,3,3,2019,4,1,0,23,1,1,1,0,0,33000,3,NA,NA,1,1,3,3,3,1,1,1
"184",5403009,1977,2,1,2,14,4,1,NA,4,NA,80000,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,1,42,2,1,1,0,0,80000,3,NA,0,NA,NA,4,4,4,1,1,1
"185",5403021,1990,1,3,1,14,4,1,NA,4,NA,40000,2,1,2,1,NA,NA,3,3,3,4,4,4,2019,4,1,0,29,1,0,1,2,0,40000,3,NA,0,NA,NA,4,4,4,1,1,1
"186",5403018,1984,1,1,2,14,4,1,"藏传佛教",NA,NA,13000,2,1,2,1,2,1,5,5,5,3,3,3,2019,4,1,0,35,2,1,1,0,0,13000,5,NA,NA,1,1,3,3,3,1,1,1
"187",5403010,1967,2,1,2,14,4,1,NA,4,NA,73420,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,52,3,1,1,0,0,73420,3,NA,0,1,1,4,4,4,1,1,1
"188",5404003,1984,2,1,2,14,4,1,NA,4,NA,2000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,35,2,1,1,0,0,2000,3,NA,0,1,1,4,4,4,1,1,1
"189",5404006,1984,2,1,2,14,4,1,"藏传佛教",NA,NA,50000,2,1,2,1,2,1,4,4,4,3,3,3,2019,4,1,1,35,2,1,1,0,0,50000,4,NA,NA,1,1,3,3,3,1,1,1
"190",5404011,1963,2,10,2,14,4,1,NA,4,NA,40000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,56,3,1,1,NA,0,40000,3,NA,0,1,1,4,4,4,1,1,1
"191",5404015,1981,2,1,2,14,4,1,NA,4,NA,50000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,38,2,1,1,0,0,50000,3,NA,0,1,1,4,4,4,1,1,1
"192",5404023,1969,2,1,2,14,4,1,NA,4,NA,28550,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,1,50,3,1,1,0,0,28550,3,NA,0,NA,NA,4,4,4,1,1,1
"193",5404001,1985,2,1,2,14,4,1,"藏传佛教",NA,NA,30000,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,2019,4,1,1,34,2,1,1,0,0,30000,4,NA,NA,NA,NA,3,3,3,1,1,1
"194",5404005,1979,2,10,2,14,4,1,NA,4,NA,10600,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,40,2,1,1,NA,0,10600,3,NA,0,1,1,4,4,4,1,1,1
"195",5404007,1973,2,1,2,14,4,1,NA,4,NA,20000,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,2019,4,1,1,46,2,1,1,0,0,20000,4,NA,0,NA,NA,4,4,4,1,1,1
"196",5404004,1980,1,1,2,14,1,1,NA,4,NA,50000,NA,NA,NA,NA,NA,NA,4,4,3,4,4,4,2019,4,1,0,39,2,1,1,0,1,50000,4,NA,0,NA,NA,4,4,4,1,1,1
"197",5404002,1972,1,1,2,14,4,1,"藏传佛教",NA,NA,78000,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,2019,4,1,0,47,2,1,1,0,0,78000,2,NA,NA,NA,NA,3,3,3,1,1,1
"198",5404013,1995,2,3,2,14,1,1,NA,4,NA,94900,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,2019,4,1,1,24,1,1,1,2,1,94900,4,NA,0,NA,NA,4,4,4,1,1,1
