"","id","s41","a2","a3a","s5","a18","a4","a10","a7a","a8a","a43a","a62","a69","a73","a87","a88","a59j","a59k","d302","d303","year","wave","time","province","rural","female","age","corhort","marriage","socialLevel","hukouRural","race","party","party_parter","edu","incomePer","incomeFam","job","occ","occR","occ_parter","occ_parterR","trust_gover","trust_local","trust_goverR","trust_localR"
"5680",5680,220000,2,1943,1,2,1,4,3,12000,5,36000,3,4,NA,NA,NA,NA,4,5,2010,3,0,"吉林省",0,1,67,3,1,5,0,1,0,0,1,12000,36000,NA,NA,NA,NA,NA,4,5,1,1
"5681",5681,220000,2,1991,1,2,1,3,6,0,2,20000,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,19,1,0,2,0,1,0,NA,3,0,20000,NA,NA,NA,NA,NA,4,4,1,1
"5682",5682,220000,2,1970,1,2,1,4,4,9999998,4,9999999,5,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,40,2,0,4,0,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
"5683",5683,220000,2,1970,1,2,1,4,10,9999999,9,9999999,3,4,2,1,5,3,4,4,2010,3,0,"吉林省",0,1,40,2,1,9,0,1,0,0,4,NA,NA,5,3,0,1,1,4,4,1,1
"5684",5684,220000,1,1947,1,2,1,4,7,35000,4,35000,5,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,0,63,3,0,4,0,1,0,NA,3,35000,35000,NA,NA,NA,NA,NA,4,4,1,1
"5685",5685,220000,2,1988,1,2,8,3,12,9999997,6,9999998,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,22,1,0,6,0,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
"5686",5686,220000,2,1964,1,2,1,4,9,10000,3,30000,3,1,NA,NA,3,1,4,4,2010,3,0,"吉林省",0,1,46,2,1,3,0,1,0,1,4,10000,30000,3,1,1,NA,NA,4,4,1,1
"5687",5687,220000,1,1940,2,1,1,4,3,720,2,1440,3,4,NA,NA,NA,NA,2,2,2010,3,0,"吉林省",1,0,70,4,1,2,1,1,0,0,1,720,1440,NA,NA,NA,NA,NA,2,2,0,0
"5688",5688,220000,1,1977,2,1,1,4,3,8000,4,13000,3,4,NA,NA,NA,NA,4,3,2010,3,0,"吉林省",1,0,33,2,1,4,1,1,0,0,1,8000,13000,NA,NA,NA,NA,NA,4,3,1,NA
"5689",5689,220000,1,1982,2,1,1,4,4,15000,3,20000,3,4,NA,NA,NA,NA,2,3,2010,3,0,"吉林省",1,0,28,1,1,3,1,1,0,0,2,15000,20000,NA,NA,NA,NA,NA,2,3,0,NA
