"","id","q2","province_id","v82","v83","v2","v84","v111","v110","v109","v101","v123","v130","v73b","v73c","year","wave","time","province","female","age","corhort","marriage","hukouRural","race","party","edu","eduyear","occ","occR_father","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"157",2210,13010322,13,1,70,2,1,1,0,3,1,1,10,6,6,2002,1,0,"河北省",0,70,4,1,0,1,0,0,3,1,0,1,6,6,1,1
"158",2202,13010322,13,1,39,2,1,1,2,9,5,1,4,4,4,2002,1,0,"河北省",0,39,2,1,0,1,0,2,9,5,1,0,4,4,0,0
"159",2212,13010322,13,1,20,2,1,2,5,12,97,0,7,4,3,2002,1,0,"河北省",0,20,1,0,0,1,0,4,12,97,0,NA,4,3,0,0
"160",2182,13010312,13,1,44,2,1,1,5,12,2,1,4,5,5,2002,1,0,"河北省",0,44,2,1,0,1,0,4,12,2,1,1,5,5,1,1
"161",2183,13010312,13,2,78,2,1,1,0,0,3,1,11,6,6,2002,1,0,"河北省",1,78,4,1,0,1,0,0,0,3,0,1,6,6,1,1
"162",2187,13010312,13,2,70,2,1,1,0,0,2,1,11,8,8,2002,1,0,"河北省",1,70,4,1,0,1,0,0,0,2,0,1,8,8,NA,NA
"163",2306,13102512,13,1,43,2,1,1,3,12,6,1,11,5,5,2002,1,0,"河北省",0,43,2,1,0,1,0,3,12,6,0,0,5,5,1,1
"164",2303,13102512,13,2,38,2,1,1,1,7,3,1,10,5,5,2002,1,0,"河北省",1,38,2,1,0,1,0,1,7,3,0,1,5,5,1,1
"165",2292,13102511,13,2,66,2,1,3,0,0,7,1,10,8,2,2002,1,0,"河北省",1,66,3,1,0,1,1,0,0,7,0,0,8,2,NA,0
"166",2426,13092112,13,2,51,1,1,1,1,4,97,1,10,6,3,2002,1,0,"河北省",1,51,3,1,1,1,0,1,4,97,0,NA,6,3,1,0
"167",2298,13102511,13,1,47,2,1,1,2,8,2,1,7,6,5,2002,1,0,"河北省",0,47,2,1,0,1,0,2,8,2,0,1,6,5,1,1
