"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2327",2327,"江苏省",1,1,77,1,5,8,8,1,2,"8",6,6,2019,1,1,0,77,4,1,8,1,1,2,8,0,"8","0",6,6,1,1
"2328",2328,"江苏省",1,1,52,1,9,15,8,3,2,"2",6,5,2019,1,1,0,52,3,1,8,1,1,4,15,1,"2","1",6,5,1,1
"2329",2329,"江苏省",1,1,56,1,5,9,2,1,2,"7",5,5,2019,1,1,0,56,3,1,2,1,1,2,9,0,"7","1",5,5,1,1
"2330",2330,"江苏省",1,1,51,1,7,11,8,1,2,"2",6,6,2019,1,1,0,51,3,1,8,1,1,3,11,0,"2","1",6,6,1,1
"2331",2331,"江苏省",2,1,79,1,0,7,2,1,2,"11",6,6,2019,1,1,1,79,4,1,2,1,1,0,7,0,"11","0",6,6,1,1
"2332",2332,"江苏省",2,1,30,1,7,12,5,1,2,"8",6,6,2019,1,1,1,30,2,1,5,1,1,3,12,0,"8","0",6,6,1,1
"2333",2333,"江苏省",1,1,23,1,9,16,5,3,1,"1",5,5,2019,1,1,0,23,1,0,5,1,1,4,16,1,"1","1",5,5,1,1
"2334",2334,"江苏省",2,1,49,1,3,6,6,1,2,"11",6,1,2019,1,1,1,49,2,1,6,1,1,1,6,0,"11","0",6,1,1,0
"2335",2335,"江苏省",1,1,36,1,5,9,5,1,2,"8",6,NA,2019,1,1,0,36,2,1,5,1,1,2,9,0,"8","0",6,NA,1,NA
"2336",2336,"江苏省",2,1,67,1,0,7,6,1,2,"8",6,5,2019,1,1,1,67,3,1,6,1,1,0,7,0,"8","0",6,5,1,1
"2337",2337,"江苏省",2,1,54,1,4,4,5,1,2,"11",6,2,2019,1,1,1,54,3,1,5,1,1,1,4,0,"11","0",6,2,1,0
"2338",2338,"江苏省",1,1,30,1,5,9,7,1,2,"11",6,5,2019,1,1,0,30,2,1,7,1,1,2,9,0,"11","0",6,5,1,1
"2339",2339,"江苏省",1,1,65,1,2,4,6,1,2,NA,6,4,2019,1,1,0,65,3,1,6,1,1,0,4,0,NA,NA,6,4,1,0
"2340",2340,"江苏省",1,1,52,1,5,9,7,1,2,"11",5,4,2019,1,1,0,52,3,1,7,1,1,2,9,0,"11","0",5,4,1,0
"2341",2341,"江苏省",1,1,73,1,5,9,9,1,2,"11",6,4,2019,1,1,0,73,4,1,9,1,1,2,9,0,"11","0",6,4,1,0
"2342",2342,"江苏省",2,1,43,1,4,7,4,1,2,NA,6,4,2019,1,1,1,43,2,1,4,1,1,1,7,0,NA,NA,6,4,1,0
"2343",2343,"江苏省",2,1,40,1,4,8,5,1,2,"8",6,1,2019,1,1,1,40,2,1,5,1,1,1,8,0,"8","0",6,1,1,0
"2344",2344,"江苏省",2,1,35,1,4,8,6,1,2,"11",6,4,2019,1,1,1,35,2,1,6,1,1,1,8,0,"11","0",6,4,1,0
"2345",2345,"江苏省",1,1,82,1,2,3,5,1,2,"11",6,5,2019,1,1,0,82,4,1,5,1,1,0,3,0,"11","0",6,5,1,1
